742606,  40,00614,     ,40-614,Crescent Rd,040,Greensville County,040,Greensville County,1.03,NCL Emporia,"40-616 S, Moonlight Rd",570,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742607,  40,00614,     ,40-614,Otterdam Rd,040,Greensville County,040,Greensville County,0.40,"40-616 N, Moonlight Rd",US 301,240,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
300098,  40,00614,     ,40-614,Otterdam Rd,040,Greensville County,040,Greensville County,0.70,US 301,40-617 Water Wheel Rd,890,G,,,,,,,X,0.1136,F,0.5100,910,G,2012,,,,,,,,,,,,,,,
742608,  40,00614,     ,40-614,Otterdam Rd,040,Greensville County,040,Greensville County,5.00,40-617 Water Wheel Rd,40-610 Allen Rd,140,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
788576,  40,00614, 002A,40-614 Exit 002A,Ramp,040,Greensville County,040,Greensville County,0.24,40-614 RAMP TO RT 95R,I-95-N FROM RT 614,490,G,,,,,,,X,0.1017,F,1.0000,490,G,2012,,,,,,,,,,,,,,,
788577,  40,00614, 002B,40-614 Exit 002B,Ramp,040,Greensville County,040,Greensville County,0.28,40-614 I-95-S013A TO RT 95,I-95-S FROM RT 614,710,G,,,,,,,X,0.1243,F,1.0000,710,G,2012,,,,,,,,,,,,,,,
742609,  40,00615,     ,40-615, ,040,Greensville County,040,Greensville County,2.30,40-610 Slagles Lake Rd,40-614 Otterdam Rd,110,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742610,  40,00616,     ,40-616, ,040,Greensville County,040,Greensville County,0.10,US 301,FR-133,300,R,,,,,,,X,,,,,,03/02/2011,,,,,,,,,,,,,,,
742611,  40,00616,     ,40-616, ,040,Greensville County,040,Greensville County,0.20,FR-133,"40-614 W, Crescent Rd",270,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742612,  40,00616,     ,40-616, ,040,Greensville County,040,Greensville County,0.50,"40-614 W, Crescent Rd","40-614 E, Otterdam Rd",90,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742613,  40,00616,     ,40-616,Moonlight Rd,040,Greensville County,040,Greensville County,0.33,"40-614 N, Otterdam Rd",Dead End,50,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
300099,  40,00617,     ,40-617,Water Wheel Rd,040,Greensville County,040,Greensville County,0.68,40-610 Slagles Lake Rd,40-614 Otterdam Rd,370,G,96%,3%,1%,0%,1%,0%,C,0.1270,F,0.7500,380,G,2012,,,,,,,,,,,,,,,
742614,  40,00618,     ,40-618, ,040,Greensville County,040,Greensville County,0.80,Dead End,40-606,160,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
300101,  40,00619,     ,40-619,Purdy Rd,040,Greensville County,040,Greensville County,0.43,NCL Emporia,40-681,1100,G,93%,1%,2%,1%,3%,0%,F,0.0956,F,0.6050,1100,G,2012,,,,,,,,,,,,,,,
300102,  40,00619,     ,40-619,Purdy Rd,040,Greensville County,040,Greensville County,3.16,40-681,40-606,790,G,93%,1%,2%,1%,3%,0%,F,0.1055,F,0.5260,810,G,2012,,,,,,,,,,,,,,,
300103,  40,00619,     ,40-619,Purdy Rd,040,Greensville County,040,Greensville County,1.54,40-606,40-613 North,640,G,93%,1%,2%,1%,3%,0%,C,0.1047,F,0.5000,650,G,2012,,,,,,,,,,,,,,,
300104,  40,00619,     ,40-619,Purdy Rd,040,Greensville County,040,Greensville County,1.44,40-613 North,40-612,470,G,93%,1%,2%,1%,3%,0%,F,0.1110,F,0.6560,480,G,2012,,,,,,,,,,,,,,,
300105,  40,00619,     ,40-619,Purdy Rd,040,Greensville County,040,Greensville County,1.77,40-612,40-608,460,G,93%,1%,2%,1%,3%,0%,F,0.1123,F,0.5085,470,G,2012,,,,,,,,,,,,,,,
300106,  40,00619,     ,40-619,Purdy Rd,040,Greensville County,040,Greensville County,2.89,40-608,Sussex County Line,370,G,93%,1%,2%,1%,3%,0%,F,0.1206,F,0.5366,370,G,2012,,,,,,,,,,,,,,,
742615,  40,00620,     ,40-620,Radium Rd,040,Greensville County,040,Greensville County,1.50,40-605,40-607,120,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742616,  40,00621,     ,40-621,Diamond Grove Rd,040,Greensville County,040,Greensville County,3.32,40-633 Pine Log Rd,40-650 Quarry Rd,210,R,,,,,,,X,,,,,,03/21/2011,,,,,,,,,,,,,,,
300107,  40,00621,     ,40-621,Quarry Rd,040,Greensville County,040,Greensville County,0.49,40-650 Quarry Rd,40-629 Moores Ferry Rd,440,G,60%,2%,4%,21%,14%,0%,C,0.0947,F,0.5000,450,G,2012,,,,,,,,,,,,,,,
300108,  40,00622,     ,40-622,Little Low Ground Rd,040,Greensville County,040,Greensville County,2.45,"40-730 W, Low Ground Rd",40-629 North,350,G,97%,2%,0%,0%,0%,0%,C,0.0964,F,0.5143,360,G,2012,,,,,,,,,,,,,,,
300109,  40,00622,     ,40-622,Little Low Ground Rd,040,Greensville County,040,Greensville County,0.29,40-629 North,"40-629 S, Zion Church Rd",350,G,97%,2%,0%,0%,0%,0%,F,0.1073,F,0.5128,360,G,2012,,,,,,,,,,,,,,,
742617,  40,00622,     ,40-622, ,040,Greensville County,040,Greensville County,5.30,"40-629 S, Zion Church Rd",40-625 WEST,120,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742618,  40,00622,     ,40-622, ,040,Greensville County,040,Greensville County,2.60,40-625 WEST,"40-730 E, Low Ground Rd",230,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742619,  40,00623,     ,40-623, ,040,Greensville County,040,Greensville County,1.90,US 58 Courtland Rd,40-611 Brick Yard Rd,310,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742620,  40,00624,     ,40-624,Steel Bridge Rd,040,Greensville County,040,Greensville County,2.20,North Carolina State Line,40-655,20,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742621,  40,00624,     ,40-624, ,040,Greensville County,040,Greensville County,0.10,40-655,40-730 Low Ground Rd,20,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742622,  40,00625,     ,40-625, ,040,Greensville County,040,Greensville County,3.94,North Carolina State Line,40-622 EAST,280,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742623,  40,00625,     ,40-625, ,040,Greensville County,040,Greensville County,5.70,40-622 WEST,40-628,640,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742624,  40,00626,     ,40-626, ,040,Greensville County,040,Greensville County,2.10,40-629 Zion Church Rd,40-622,90,R,,,,,,,X,,,,,,03/21/2011,,,,,,,,,,,,,,,
300110,  40,00627,     ,40-627,Brink Rd,040,Greensville County,040,Greensville County,8.03,North Carolina State Line,40-633,670,G,91%,1%,1%,1%,6%,0%,F,0.1033,F,0.7425,680,G,2012,,,,,,,,,,,,,,,
300111,  40,00627,     ,40-627,Brink Rd,040,Greensville County,040,Greensville County,5.60,40-633,40-1025,1700,G,91%,1%,1%,1%,6%,0%,C,0.1025,F,0.7371,1700,G,2012,,,,,,,,,,,,,,,
300112,  40,00627,     ,40-627,Brink Rd,040,Greensville County,040,Greensville County,0.56,40-1025,SCL Emporia,2500,G,91%,1%,1%,1%,6%,0%,F,0.0913,F,0.6927,2500,G,2012,,,,,,,,,,,,,,,
742625,  40,00628,     ,40-628,Rolling Acres Rd,040,Greensville County,040,Greensville County,1.40,Dead End,US 301 Skippers Rd,40,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742626,  40,00628,     ,40-628,Miles Town Rd,040,Greensville County,040,Greensville County,3.40,US 301 Skippers Rd,40-629 Zion Church Rd,50,R,,,,,,,X,,,,,,03/21/2011,,,,,,,,,,,,,,,
742627,  40,00629,     ,40-629, ,040,Greensville County,040,Greensville County,3.20,North Carolina State Line,40-632,370,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742628,  40,00629,     ,40-629,Lifsey Rd,040,Greensville County,040,Greensville County,0.70,40-632,40-621 Quarry Rd,590,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
300113,  40,00629,     ,40-629,Moores Ferry Rd,040,Greensville County,040,Greensville County,1.06,40-621 Quarry Rd,I-95,880,G,79%,1%,1%,16%,3%,0%,C,0.1154,F,0.6667,900,G,2012,,,,,,,,,,,,,,,
300114,  40,00629,     ,40-629,Moores Ferry Rd,040,Greensville County,040,Greensville County,0.94,I-95,US 301,1300,G,82%,1%,1%,4%,11%,0%,C,0.0882,F,0.5313,1300,G,2012,,,,,,,,,,,,,,,
300115,  40,00629,     ,40-629,Zion Church Rd,040,Greensville County,040,Greensville County,0.10,US 301,40-628,1300,G,95%,3%,1%,1%,0%,0%,F,0.0833,F,0.6000,1400,G,2012,,,,,,,,,,,,,,,
300116,  40,00629,     ,40-629,Zion Church Rd,040,Greensville County,040,Greensville County,2.60,40-628,"40-622 S, Little Low Ground Rd",130,G,95%,3%,1%,1%,0%,0%,C,0.1241,F,0.6471,130,G,2012,,,,,,,,,,,,,,,
742629,  40,00629,     ,40-629,Zion Church Rd,040,Greensville County,040,Greensville County,1.35,"40-622 N, Little Low Ground Rd",40-730 Low Ground Rd,100,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
788578,  40,00629, 004A,40-629 Exit 004A,Ramp,040,Greensville County,040,Greensville County,0.14,40-629 Moores Ferry Rd,I-95 South,920,G,,,,,,,X,,,,920,G,2012,,,,,,,,,,,,,,,
788579,  40,00629, 004B,40-629 Exit 004B,Ramp,040,Greensville County,040,Greensville County,0.14,40-629 Moores Ferry Rd,I-95 North,2000,G,,,,,,,X,,,,2000,G,2012,,,,,,,,,,,,,,,
300117,  40,00630,     ,40-630,N Allen St,244,Town of Jarratt,040,Greensville County,0.23,SR 139 Jarratt Ave,NCL Jarratt,760,G,95%,1%,1%,0%,3%,0%,F,0.1033,F,0.5283,770,G,2012,,,,,,,,,,,,,,,
300118,  40,00630,     ,40-630,River Rd,040,Greensville County,040,Greensville County,2.30,NCL Jarratt,Sussex County Line,450,G,95%,1%,1%,0%,3%,0%,C,0.1111,F,0.6981,460,G,2012,,,,,,,,,,,,,,,
300119,  40,00631,     ,40-631,Spring Church Rd,040,Greensville County,040,Greensville County,0.20,North Carolina State Line,40-603,1100,G,,,,,,,X,,,,1100,G,2012,,,,,,,,,,,,,,,
742630,  40,00631,     ,40-631, ,040,Greensville County,040,Greensville County,4.77,40-603,North Carolina State Line,220,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742631,  40,00632,     ,40-632,Massie Branch Rd,040,Greensville County,040,Greensville County,4.60,40-633 Pine Log Rd,40-629,220,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742632,  40,00633,     ,40-633,Pine Log Rd,040,Greensville County,040,Greensville County,1.48,North Carolina State Line,"40-603 S, Gaston Rd",730,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
300120,  40,00633,     ,40-633,Pine Log Rd,040,Greensville County,040,Greensville County,0.30,"40-603 S, Gaston Rd","40-603 N, Gaston Rd",640,G,90%,1%,0%,0%,7%,0%,F,0.0982,F,0.5068,650,G,2012,,,,,,,,,,,,,,,
300121,  40,00633,     ,40-633,Pine Log Rd,040,Greensville County,040,Greensville County,3.85,"40-603 N, Gaston Rd",40-627 Brink Rd,520,G,90%,1%,0%,0%,7%,0%,C,0.1052,F,0.7091,530,G,2012,,,,,,,,,,,,,,,
300122,  40,00633,     ,40-633,Independence Church Rd,040,Greensville County,040,Greensville County,2.80,40-627 Brink Rd,40-693,340,G,90%,1%,0%,0%,7%,0%,F,0.1173,F,0.5960,350,G,2012,,,,,,,,,,,,,,,
300123,  40,00633,     ,40-633,Independence Church Rd,040,Greensville County,040,Greensville County,1.73,40-693,"40-611 W, Dry Bread Rd",410,G,90%,1%,0%,0%,7%,0%,F,0.1093,F,0.5268,420,G,2012,,,,,,,,,,,,,,,
742633,  40,00633,     ,40-633,Independence Church Rd,040,Greensville County,040,Greensville County,1.81,"40-611 E, Dry Bread Rd",Dead End,130,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742634,  40,00634,     ,40-634,Bass Rd,040,Greensville County,040,Greensville County,1.50,US 301 Skippers Rd,Dead End,48,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742635,  40,00635,     ,40-635, ,040,Greensville County,040,Greensville County,1.00,Dead End,40-611 Dry Bread Rd,170,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742636,  40,00637,     ,40-637, ,040,Greensville County,040,Greensville County,0.35,40-608,40-696 Fields Circle,250,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742637,  40,00637,     ,40-637, ,040,Greensville County,040,Greensville County,0.25,40-696 Fields Circle,Dead End,430,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742638,  40,00638,     ,40-638,Newsome Lane,040,Greensville County,040,Greensville County,0.80,40-730 Low Ground Rd,0.80 MN 40-730,20,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742639,  40,00638,     ,40-638, ,040,Greensville County,040,Greensville County,1.15,0.80 MN 40-730,Dead End,30,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742640,  40,00639,     ,40-639, ,040,Greensville County,040,Greensville County,2.20,40-627 Brink Rd,"40-650 W, Quarry Rd",340,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
300124,  40,00639,     ,40-639,Rock Bridge Rd,040,Greensville County,040,Greensville County,2.20,"40-650 W, Quarry Rd",US 301,170,G,96%,3%,1%,0%,0%,0%,C,0.1356,F,0.7083,170,G,2012,,,,,,,,,,,,,,,
742641,  40,00639,     ,40-639,East Rock Bridge Rd,040,Greensville County,040,Greensville County,0.10,US 301 Skippers Rd,40-691,90,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742642,  40,00640,     ,40-640,Ruritan Dr,040,Greensville County,040,Greensville County,0.75,US 58; 40-607,40-681 & 1020,430,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742643,  40,00641,     ,40-641,Garners Mill Rd,040,Greensville County,040,Greensville County,0.35,Dead End,40-633,20,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742644,  40,00642,     ,40-642, ,040,Greensville County,040,Greensville County,0.40,Dead End,US 301 Skippers Rd,80,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742645,  40,00643,     ,40-643, ,040,Greensville County,040,Greensville County,1.17,40-635,40-611 Dry Bread Rd,190,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742646,  40,00644,     ,40-644,Satterfield Dr,040,Greensville County,040,Greensville County,0.47,40-640,NCL Emporia,360,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742647,  40,00646,     ,40-646,Sykes Ave,040,Greensville County,040,Greensville County,0.80,Dead End,40-730 Low Ground Rd,90,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742648,  40,00647,     ,40-647,Green Leaf Inn Rd,040,Greensville County,040,Greensville County,0.26,40-605,Dead End,110,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742649,  40,00648,     ,40-648,Felts Rd,040,Greensville County,040,Greensville County,1.20,40-630 River Rd,Dead End,110,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742650,  40,00649,     ,40-649,Carter Rd,040,Greensville County,040,Greensville County,0.90,US 58 Pleasant Shade Dr,Dead End,47,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
300125,  40,00650,     ,40-650,Quarry Rd,040,Greensville County,040,Greensville County,1.33,40-621 Quarry Rd,40-679,310,G,51%,2%,1%,34%,12%,0%,C,0.1384,F,0.7347,320,G,2012,,,,,,,,,,,,,,,
300126,  40,00650,     ,40-650,Quarry Rd,040,Greensville County,040,Greensville County,1.48,40-679,"40-639 W, Rock Bridge Rd",70,G,51%,2%,1%,34%,12%,0%,F,0.1215,F,0.5909,70,G,2012,,,,,,,,,,,,,,,
742651,  40,00650,     ,40-650,Collins Rd,040,Greensville County,040,Greensville County,1.60,"40-639 E, Rock Bridge Rd",40-627 Brink Rd,130,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742652,  40,00651,     ,40-651,Nottoway Rd,040,Greensville County,040,Greensville County,3.00,40-610 Slagles Lake Rd,40-608 EAST,380,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742653,  40,00651,     ,40-651, ,040,Greensville County,040,Greensville County,1.40,40-608 WEST,40-619 Purdy Rd,150,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742654,  40,00652,     ,40-652,Inge Ave,040,Greensville County,040,Greensville County,0.11,Dead End,40-653,10,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742655,  40,00652,     ,40-652, ,040,Greensville County,040,Greensville County,0.13,40-653,Dead End,5,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742656,  40,00653,     ,40-653,Fairground Rd,040,Greensville County,040,Greensville County,0.30,40-687,40-652,170,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742657,  40,00654,     ,40-654, ,040,Greensville County,040,Greensville County,1.74,ECL Emporia,40-611 Brick Yard Rd,190,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742658,  40,00655,     ,40-655, ,040,Greensville County,040,Greensville County,0.30,40-730 Low Ground Rd,40-624 Steel Bridge Rd,6,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742659,  40,00656,     ,40-656, ,040,Greensville County,040,Greensville County,2.30,40-625,40-626,180,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742660,  40,00657,     ,40-657,Liberty Rd,040,Greensville County,040,Greensville County,0.80,US 301 Skippers Rd,Dead End,500,R,,,,,,,X,,,,,,05/25/2011,,,,,,,,,,,,,,,
742661,  40,00658,     ,40-658,Campground Rd,040,Greensville County,040,Greensville County,1.10,Dead End,40-611 Dry Bread Rd,230,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742662,  40,00659,     ,40-659,Fountain Creek Rd,040,Greensville County,040,Greensville County,2.40,40-603,40-627 Brink Rd,170,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742663,  40,00660,     ,40-660,Fiddlers Rd,040,Greensville County,040,Greensville County,5.65,40-656,40-730 Low Ground Rd,280,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742664,  40,00662,     ,40-662, ,040,Greensville County,040,Greensville County,1.50,US 301 Skippers Rd,North Carolina State Line,8,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742665,  40,00663,     ,40-663,Riegel Rd,040,Greensville County,040,Greensville County,0.54,US 301,40-614 Crescent Rd,890,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742666,  40,00664,     ,40-664, ,040,Greensville County,040,Greensville County,0.25,Dead End,NCL Emporia,340,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742667,  40,00665,     ,40-665,Blanks Lane,040,Greensville County,040,Greensville County,0.80,Dead End,US 301,250,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742668,  40,00666,     ,40-666,Goose Pond Rd,040,Greensville County,040,Greensville County,0.90,40-730 Low Ground Rd,Dead End,160,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742669,  40,00667,     ,40-667, ,040,Greensville County,040,Greensville County,1.00,Dead End,40-611 Dry Bread Rd,210,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742670,  40,00668,     ,40-668,Quarter Rd,040,Greensville County,040,Greensville County,0.75,40-730 Low Ground Rd,Dead End,4,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742671,  40,00669,     ,40-669,Dwights Lane,040,Greensville County,040,Greensville County,0.50,40-605,Dead End,30,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742672,  40,00670,     ,40-670,Rainey Pond Rd,040,Greensville County,040,Greensville County,0.90,Dead End,40-627 Brink Rd,10,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742673,  40,00671,     ,40-671,Doodlum Rd,040,Greensville County,040,Greensville County,1.39,Dead End,1.39 ME Dead End,30,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742674,  40,00671,     ,40-671,Doodlum Rd,040,Greensville County,040,Greensville County,1.71,1.39 ME Dead End,40-619 Purdy Rd,100,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742675,  40,00672,     ,40-672,Stuart St,040,Greensville County,040,Greensville County,0.06,40-664,40-673,120,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742676,  40,00673,     ,40-673,Turner Lane,040,Greensville County,040,Greensville County,0.06,40-672,Cul-de-Sac,100,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742677,  40,00675,     ,40-675,Hunts Lane,040,Greensville County,040,Greensville County,0.88,40-627 Brink Rd,Dead End,120,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742678,  40,00676,     ,40-676,Brantley Moore,040,Greensville County,040,Greensville County,2.21,40-660,40-629,70,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742679,  40,00677,     ,40-677,Hill Top Lane,040,Greensville County,040,Greensville County,0.98,Dead End,40-632 Massie Branch Rd,80,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742680,  40,00678,     ,40-678,Mitchelle Mill Rd,040,Greensville County,040,Greensville County,0.35,Dead End,40-629,5,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742681,  40,00679,     ,40-679,Carpenter Rd,040,Greensville County,040,Greensville County,0.50,Dead End,40-650 Quarry Rd,110,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742682,  40,00680,     ,40-680, ,040,Greensville County,040,Greensville County,0.83,40-608 Wyatts Mill Rd,Dead End,110,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742683,  40,00681,     ,40-681,Everetts Lake Rd,040,Greensville County,040,Greensville County,0.55,40-640 & 1020,40-619 Purdy Rd,120,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742684,  40,00682,     ,40-682, ,040,Greensville County,040,Greensville County,0.12,US 58 Courtland Rd,Dead End,30,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742685,  40,00683,     ,40-683,Sadler Dr,040,Greensville County,040,Greensville County,0.11,US 58 Pleasant Shade Dr,40-705,180,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742686,  40,00683,     ,40-683, ,040,Greensville County,040,Greensville County,0.10,40-705,40-697,210,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742687,  40,00683,     ,40-683, ,040,Greensville County,040,Greensville County,0.15,40-697,40-644,160,R,,,,,,,X,,,,,,03/01/2011,,,,,,,,,,,,,,,
742688,  40,00684,     ,40-684,Poultry Dr,040,Greensville County,040,Greensville County,0.07,Dead End,"US 58 E, Pleasant Shade Dr",120,R,,,,,,,X,,,,,,05/05/2011,,,,,,,,,,,,,,,
742689,  40,00684,     ,40-684,Westover Dr,040,Greensville County,040,Greensville County,0.33,"US 58 W, Pleasant Shade Dr",40-644 Satterfield Dr,140,R,,,,,,,X,,,,,,05/05/2011,,,,,,,,,,,,,,,
742690,  40,00687,     ,40-687,Mill Rd,040,Greensville County,040,Greensville County,0.20,40-611; 40-643,40-653 Fairground Rd,180,R,,,,,,,X,,,,,,05/05/2011,,,,,,,,,,,,,,,
742691,  40,00687,     ,40-687, ,040,Greensville County,040,Greensville County,0.13,40-653 Fairground Rd,Dead End,240,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742692,  40,00688,     ,40-688,Quarter Rd,040,Greensville County,040,Greensville County,0.20,Dead End,SCL Emporia,10,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742693,  40,00689,     ,40-689,Old Halifax Rd,040,Greensville County,040,Greensville County,0.52,US 301; I-95 Ramp,SCL Emporia,110,R,,,,,,,X,,,,,,03/31/2011,,,,,,,,,,,,,,,
742694,  40,00690,     ,40-690,Morgan Rd,040,Greensville County,040,Greensville County,0.80,US 301 Skippers Rd,US 301 Skippers Rd,120,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742695,  40,00691,     ,40-691,Cedar Lane,040,Greensville County,040,Greensville County,0.10,40-634 Bass Rd,0.10 MN 40-634,4,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742696,  40,00691,     ,40-691,Cedar Lane,040,Greensville County,040,Greensville County,0.40,0.10 MN 40-634,40-639 East Rock Bridge Rd,4,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742697,  40,00691,     ,40-691,Cedar Lane,040,Greensville County,040,Greensville County,0.50,40-639 East Rock Bridge Rd,US 301 Skippers Rd,6,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742698,  40,00691,     ,40-691,Cedar Lane,040,Greensville County,040,Greensville County,0.20,US 301 Skippers Rd,Dead End,3,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
787828,  40,00692,     ,40-692, ,040,Greensville County,040,Greensville County,0.81,40-604,Cul-de-Sac,10,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742699,  40,00693,     ,40-693, ,040,Greensville County,040,Greensville County,1.50,40-604,40-633 Independence Church Rd,290,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742700,  40,00694,     ,40-694,Hobbs Rd,040,Greensville County,040,Greensville County,1.00,40-627 Brink Rd,Dead End,30,R,,,,,,,X,,,,,,04/01/2008,,,,,,,,,,,,,,,
742701,  40,00696,     ,40-696,Fields Circle,040,Greensville County,040,Greensville County,0.60,40-608,40-637,20,R,,,,,,,X,,,,,,05/13/2008,,,,,,,,,,,,,,,
742702,  40,00697,     ,40-697,Watkins Dr,040,Greensville County,040,Greensville County,0.17,40-683,40-705,40,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742703,  40,00697,     ,40-697, ,040,Greensville County,040,Greensville County,0.06,40-705,Dead End,10,R,,,,,,,X,,,,,,05/05/2011,,,,,,,,,,,,,,,
742704,  40,00698,     ,40-698,Spangler Lane,040,Greensville County,040,Greensville County,0.50,40-607 Westward Rd,Dead End,90,R,,,,,,,X,,,,,,03/03/2011,,,,,,,,,,,,,,,
742705,  40,00699,     ,40-699,William Rd,040,Greensville County,040,Greensville County,0.50,Dead End,US 301 Skippers Rd,140,R,,,,,,,X,,,,,,05/10/2011,,,,,,,,,,,,,,,
742706,  40,00700,     ,40-700,Louis St,040,Greensville County,040,Greensville County,0.15,Dead End,40-643,160,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
742707,  40,00701,     ,40-701,Shore Dr,040,Greensville County,040,Greensville County,0.32,Dead End,40-707,130,R,,,,,,,X,,,,,,03/22/2011,,,,,,,,,,,,,,,
