753668,  59,00646,     ,59-646,Long Point Lane,059,Middlesex County,059,Middlesex County,0.78,59-663; 59-699,Dead End,140,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753669,  59,00647,     ,59-647,Bethel Church Rd,059,Middlesex County,059,Middlesex County,0.63,Dead End,59-605 Canoe House Rd,30,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753670,  59,00648,     ,59-648,Montague Island Rd,059,Middlesex County,059,Middlesex County,1.97,59-604 Nesting Rd,Dead End,160,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753671,  59,00650,     ,59-650,Montgomery Cove Rd,059,Middlesex County,059,Middlesex County,0.15,Dead End,0.15 ME Dead End,20,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753672,  59,00650,     ,59-650,Montgomery Cove Rd,059,Middlesex County,059,Middlesex County,0.08,0.15 ME Dead End,59-636 Timberneck Rd,48,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753673,  59,00651,     ,59-651,Smokey Point Rd,059,Middlesex County,059,Middlesex County,0.65,59-640 Waterview Road,59-685 Riverview Ave,90,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753674,  59,00651,     ,59-651,Point Breeze,059,Middlesex County,059,Middlesex County,0.52,59-685 Riverview Ave,Dead End,40,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753675,  59,00652,     ,59-652, ,059,Middlesex County,059,Middlesex County,0.45,SR 33 Puller Hwy,59-664 Woods Creek Rd,550,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753676,  59,00652,     ,59-652, ,059,Middlesex County,059,Middlesex County,0.05,59-664 Woods Creek Rd,Dead End,140,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753677,  59,00653,     ,59-653,City of Refuge Rd,059,Middlesex County,059,Middlesex County,0.34,SR 3 Twiggs Ferry Rd,SR 3 Twiggs Ferry Rd,20,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753678,  59,00654,     ,59-654, ,059,Middlesex County,059,Middlesex County,0.50,Dead End,SR 33 Puller Hwy,90,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753679,  59,00655,     ,59-655,Ferry Rd,059,Middlesex County,059,Middlesex County,0.21,Dead End,SR 3 Twiggs Ferry Rd,40,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753680,  59,00656,     ,59-656,Burch Rd,059,Middlesex County,059,Middlesex County,0.40,59-637,Dead End,260,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753681,  59,00657,     ,59-657,Kates Neck Rd,059,Middlesex County,059,Middlesex County,1.09,SR 3 Greys Point Rd,Dead End,270,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753682,  59,00658,     ,59-658,Country Rd,059,Middlesex County,059,Middlesex County,0.55,59-695,Dead End,50,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753683,  59,00659,     ,59-659, ,059,Middlesex County,059,Middlesex County,0.13,Dead End,59-636 Timberneck Rd,220,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753684,  59,00660,     ,59-660, ,059,Middlesex County,059,Middlesex County,0.34,Dead End,59-683,200,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753685,  59,00660,     ,59-660, ,059,Middlesex County,059,Middlesex County,0.16,59-683,SR 33 Puller Hwy,490,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753686,  59,00660,     ,59-660, ,059,Middlesex County,059,Middlesex County,0.09,SR 33 Puller Hwy,Dead End,20,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753687,  59,00661,     ,59-661, ,059,Middlesex County,059,Middlesex County,0.20,59-623,Dead End,9,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753688,  59,00662,     ,59-662, ,059,Middlesex County,059,Middlesex County,0.40,SR 33; 59-688,Dead End,70,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753689,  59,00663,     ,59-663,Plainview Rd,059,Middlesex County,059,Middlesex County,1.01,59-646; 59-699,Dead End,270,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753690,  59,00664,     ,59-664,Woods Creek Rd,059,Middlesex County,059,Middlesex County,0.17,Dead End,59-672,90,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753691,  59,00664,     ,59-664,Woods Creek Rd,059,Middlesex County,059,Middlesex County,0.15,59-672,59-652,230,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753692,  59,00665,     ,59-665,Seven Springs Lane,059,Middlesex County,059,Middlesex County,0.40,Dead End,US 17; 59-616,70,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753693,  59,00666,     ,59-666,Croxtons Rd,059,Middlesex County,059,Middlesex County,1.23,Dead End,59-606,40,R,,,,,,,X,,,,,,05/04/2006,,,,,,,,,,,,,,,
753694,  59,00667,     ,59-667,Whipoorwill Lane,059,Middlesex County,059,Middlesex County,0.40,59-629 Stormont Road,Dead End,70,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753695,  59,00668,     ,59-668,Bunkers Lane,059,Middlesex County,059,Middlesex County,0.40,Dead End,59-619 Healys Rd,160,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753696,  59,00669,     ,59-669,Brandon Point Rd,059,Middlesex County,059,Middlesex County,0.60,59-619 Burhans Wharf Rd,Dead End,70,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
786512,  59,00670,     ,59-670,South Landing Rd,059,Middlesex County,059,Middlesex County,0.58,Dead End,59-640 Waterview Road,50,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753697,  59,00671,     ,59-671,Hewitt St,059,Middlesex County,059,Middlesex County,0.16,Dead End,Bus US 17,80,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753698,  59,00672,     ,59-672, ,059,Middlesex County,059,Middlesex County,0.65,59-664 Woods Creek Rd,Dead End,130,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753699,  59,00673,     ,59-673,Edgewater Rd,059,Middlesex County,059,Middlesex County,0.51,SR 33 Puller Hwy,Dead End,130,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753700,  59,00674,     ,59-674,Bowden St,059,Middlesex County,059,Middlesex County,0.16,59-618 Oakes Landing Rd,59-706 C F Edwards Lane,230,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753701,  59,00675,     ,59-675,New St,059,Middlesex County,059,Middlesex County,0.05,SR 33 Puller Hwy,59-674 Bowden St,130,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753702,  59,00676,     ,59-676, ,059,Middlesex County,059,Middlesex County,2.27,59-602 Old Virginia Street,Dead End,560,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753703,  59,00677,     ,59-677, ,059,Middlesex County,059,Middlesex County,0.53,59-636 Timberneck Rd,Dead End,120,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753704,  59,00678,     ,59-678,Robinson Lane,059,Middlesex County,059,Middlesex County,0.41,SR 3 Greys Point Rd,Dead End,140,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753705,  59,00679,     ,59-679,Rocks Dr,059,Middlesex County,059,Middlesex County,0.35,59-640 Waterview Road,Dead End,50,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753706,  59,00680,     ,59-680,Burrells Marina Rd,059,Middlesex County,059,Middlesex County,0.74,59-602 Old Virginia Street,Dead End,420,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753707,  59,00681,     ,59-681,Silver Ridge Rd,059,Middlesex County,059,Middlesex County,0.63,SR 33 Puller Hwy,Dead End,60,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753708,  59,00682,     ,59-682,Parrotts Creek Lane,059,Middlesex County,059,Middlesex County,0.32,59-640,Dead End,110,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753709,  59,00683,     ,59-683, ,059,Middlesex County,059,Middlesex County,0.33,Dead End,59-660,270,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753710,  59,00684,     ,59-684,Browns Lane,059,Middlesex County,059,Middlesex County,0.86,59-602 Old Virginia Street,Dead End,970,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753711,  59,00685,     ,59-685,Riverview Ave,059,Middlesex County,059,Middlesex County,0.15,Dead End,59-651 Point Breeze; Smokey Point Rd,20,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753712,  59,00686,     ,59-686,Millers Rd,059,Middlesex County,059,Middlesex County,0.55,59-622 Dirt Bridge Road,Dead End,170,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753713,  59,00687,     ,59-687,Reed Dr,059,Middlesex County,059,Middlesex County,0.50,US 17 Tidewater Trail,Dead End,90,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753714,  59,00688,     ,59-688, ,059,Middlesex County,059,Middlesex County,0.24,SR 33; 59-662,Dead End,230,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753715,  59,00689,     ,59-689, ,059,Middlesex County,059,Middlesex County,0.13,59-659,59-636 Timberneck Rd,30,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753716,  59,00690,     ,59-690,Coach Point Rd,059,Middlesex County,059,Middlesex County,1.42,Dead End,59-629 Stormont Road,930,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753717,  59,00691,     ,59-691,Streets Lane,059,Middlesex County,059,Middlesex County,0.25,59-602 Old Virginia Street,59-602 Old Virginia Street,20,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753718,  59,00692,     ,59-692, ,059,Middlesex County,059,Middlesex County,0.06,Dead End,59-701,40,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753719,  59,00692,     ,59-692, ,059,Middlesex County,059,Middlesex County,0.09,59-701,Bus US 17,90,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753720,  59,00693,     ,59-693,Corbin Hall Dr,059,Middlesex County,059,Middlesex County,2.94,59-640 Waterview Road,Dead End,70,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753721,  59,00694,     ,59-694, ,059,Middlesex County,059,Middlesex County,0.52,59-663 Plainview Rd,Dead End,60,R,,,,,,,X,,,,,,05/08/2003,,,,,,,,,,,,,,,
753722,  59,00695,     ,59-695, ,059,Middlesex County,059,Middlesex County,1.06,US 17 Tidewater Trail,59-602 Old Virginia Street,70,R,,,,,,,X,,,,,,1997,,,,,,,,,,,,,,,
753723,  59,00696,     ,59-696,Queens Point Dr,059,Middlesex County,059,Middlesex County,0.49,SR 33 Puller Hwy,Dead End,50,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753724,  59,00697,     ,59-697,Forrer St,059,Middlesex County,059,Middlesex County,0.17,Bus US 17,59-698 Legion Rd,60,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753725,  59,00698,     ,59-698,Legion Rd,059,Middlesex County,059,Middlesex County,0.07,59-617 Watson Landing; Watson Landing,59-697 Forrer St,30,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753726,  59,00699,     ,59-699,Hideaway Point,059,Middlesex County,059,Middlesex County,0.31,59-646; 59-663,Dead End,210,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753727,  59,00700,     ,59-700,Deerchase Rd,059,Middlesex County,059,Middlesex County,0.06,Dead End,59-629 Stormont Road,110,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753728,  59,00701,     ,59-701, ,059,Middlesex County,059,Middlesex County,0.06,59-692,59-671 Hewitt St,20,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753729,  59,00702,     ,59-702,Bushy Park Rd,059,Middlesex County,059,Middlesex County,0.79,59-628 Mill Creek Rd,Dead End,780,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753730,  59,00703,     ,59-703, ,059,Middlesex County,059,Middlesex County,0.78,Dead End,SR 33 Puller Hwy,360,R,,,,,,,X,,,,,,06/04/2003,,,,,,,,,,,,,,,
753731,  59,00704,     ,59-704,Regent Point Rd,059,Middlesex County,059,Middlesex County,0.39,59-623,Dead End,150,R,,,,,,,X,,,,,,05/31/2006,,,,,,,,,,,,,,,
753732,  59,00705,     ,59-705,Faraway Rd,059,Middlesex County,059,Middlesex County,0.46,Dead End,59-629 Stormont Road,300,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753733,  59,00706,     ,59-706,C F Edwards Lane,059,Middlesex County,059,Middlesex County,0.07,SR 33 Puller Hwy,Dead End,290,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
753734,  59,00707,     ,59-707,Grafton Church Rd,059,Middlesex County,059,Middlesex County,0.34,"SR 3 E, Puller Hwy",59-708 Fairfield Rd,1400,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753735,  59,00707,     ,59-707,Grafton Church Rd,059,Middlesex County,059,Middlesex County,0.07,59-708 Fairfield Rd,59-629 Stormont Road,1400,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
405420,  59,00707,     ,59-707,Grafton Church Rd,059,Middlesex County,059,Middlesex County,0.30,59-629 Stormont Rd,SR 3 Puller Hwy,1100,G,97%,1%,1%,1%,0%,0%,C,0.1105,F,0.5111,1100,G,2008,,,,,,,,,,,,,,,
753736,  59,00708,     ,59-708,Fairfield Rd,059,Middlesex County,059,Middlesex County,1.40,Dead End,59-707 Grafton Church Rd,200,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753737,  59,00709,     ,59-709, ,059,Middlesex County,059,Middlesex County,0.25,Dead End,59-631 North End Rd,80,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753738,  59,00710,     ,59-710,Wild Goose Dr,059,Middlesex County,059,Middlesex County,0.35,Dead End,SR 33 Puller Hwy,340,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753739,  59,00711,     ,59-711,Tank Rd,059,Middlesex County,059,Middlesex County,0.08,US 17 Tidewater Trail,59-647 Bethel Church Rd,10,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753740,  59,00712,     ,59-712,Robins Point Ave,059,Middlesex County,059,Middlesex County,1.07,59-631 North End Rd,Dead End,560,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753741,  59,00713,     ,59-713, ,059,Middlesex County,059,Middlesex County,0.55,59-639,Dead End,140,R,,,,,,,X,,,,,,05/21/2003,,,,,,,,,,,,,,,
753742,  59,00714,     ,59-714, ,059,Middlesex County,059,Middlesex County,0.34,59-712 Robins Point Ave,Dead End,150,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753743,  59,00715,     ,59-715,Dogwood Lane,059,Middlesex County,059,Middlesex County,0.15,Cul-de-Sac,59-676,45,R,,,,,,,X,,,,,,05/16/2006,,,,,,,,,,,,,,,
753744,  59,00716,     ,59-716, ,059,Middlesex County,059,Middlesex County,0.07,59-631 North End Rd,59-717,220,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753745,  59,00717,     ,59-717, ,059,Middlesex County,059,Middlesex County,0.19,59-716,59-718,200,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753746,  59,00718,     ,59-718, ,059,Middlesex County,059,Middlesex County,0.15,59-717,59-720 Creekshore Dr,130,R,,,,,,,X,,,,,,05/27/2003,,,,,,,,,,,,,,,
753747,  59,00719,     ,59-719,Jamaica Loop,059,Middlesex County,059,Middlesex County,0.34,"59-605 S, Canoe House Rd","59-605 N, Canoe House Rd",20,R,,,,,,,X,,,,,,05/09/2006,,,,,,,,,,,,,,,
753748,  59,00720,     ,59-720,Creekshore Dr,059,Middlesex County,059,Middlesex County,0.12,59-718,59-721 Cove Ct,120,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753749,  59,00720,     ,59-720,Creekshore Dr,059,Middlesex County,059,Middlesex County,0.17,59-721 Cove Ct,Dead End,100,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
753750,  59,00721,     ,59-721,Cove Ct,059,Middlesex County,059,Middlesex County,0.02,Cul-de-Sac,59-720 Creekshore Dr,30,R,,,,,,,X,,,,,,05/22/2006,,,,,,,,,,,,,,,
793285,  59,00722,     ,59-722,Captains Reef Rd,059,Middlesex County,059,Middlesex County,0.16,59-643 Horseshoe Bend Rd,59-636 Timberneck Rd,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
753751,  59,00725,     ,59-725,Point Anne Rd,059,Middlesex County,059,Middlesex County,0.70,Dead End,59-629 Stormont Road,280,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753752,  59,00727,     ,59-727,Glenwood Dr,059,Middlesex County,059,Middlesex County,0.20,59-625 Barricks Mill Road,Dead End,40,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
753753,  59,00730,     ,59-730,Wood Brothers Rd,059,Middlesex County,059,Middlesex County,0.10,SR 3 Puller Hwy,Dead End,980,R,,,,,,,X,,,,,,05/25/2006,,,,,,,,,,,,,,,
793286,  59,00731,     ,59-731, ,059,Middlesex County,059,Middlesex County,0.43,59-710 Wild Goose Dr,59-732,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
793287,  59,00732,     ,59-732, ,059,Middlesex County,059,Middlesex County,0.14,Cul-de-Sac,Cul-de-Sac,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
793288,  59,00735,     ,59-735, ,059,Middlesex County,059,Middlesex County,0.09,59-725 Point Anne Rd,Dead End,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
793289,  59,00736,     ,59-736, ,059,Middlesex County,059,Middlesex County,0.16,Dead End,59-725 Point Anne Rd,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
793290,  59,00737,     ,59-737, ,059,Middlesex County,059,Middlesex County,0.61,Dead End,59-725 Point Anne Rd,0,?,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
753754,  59,00740,     ,59-740,Sports Complex Rd,059,Middlesex County,059,Middlesex County,0.13,Dead End,59-620,320,R,,,,,,,X,,,,,,05/18/2006,,,,,,,,,,,,,,,
405421,  59,01001,     ,59-1001,Rappahannock Ave,316,Town of Urbanna,059,Middlesex County,0.33,SR 227,59-1006 Marston Ave,830,G,99%,0%,1%,0%,0%,0%,C,0.1029,F,0.5227,850,G,2008,,,,,,,,,,,,,,,
405422,  59,01001,     ,59-1001,Rappahannock Ave,316,Town of Urbanna,059,Middlesex County,0.14,59-1006 Marston Ave,59-1007 Taylor Ave,490,G,98%,1%,1%,0%,0%,0%,F,0.1216,F,0.6475,500,G,2008,,,,,,,,,,,,,,,
405423,  59,01001,     ,59-1001,Rappahannock Ave,316,Town of Urbanna,059,Middlesex County,0.18,59-1007 Taylor Ave,59-1014 Kent St,200,G,98%,1%,1%,0%,0%,0%,C,0.1364,F,0.5667,210,G,2008,,,,,,,,,,,,,,,
753755,  59,01002,     ,59-1002,Virginia St,316,Town of Urbanna,059,Middlesex County,0.23,Dead End,SR 227; 59-1005,380,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753756,  59,01003,     ,59-1003, ,316,Town of Urbanna,059,Middlesex County,0.12,59-1009,SR 227,900,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753757,  59,01004,     ,59-1004,Wattling St,316,Town of Urbanna,059,Middlesex County,0.05,Dead End,SR 227,140,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
405424,  59,01005,     ,59-1005,Cross St,316,Town of Urbanna,059,Middlesex County,0.25,SR 227,59-1006 Marston Ave,760,G,99%,1%,0%,0%,0%,0%,C,0.1082,F,0.5952,770,G,2008,,,,,,,,,,,,,,,
405425,  59,01005,     ,59-1005,Cross St,316,Town of Urbanna,059,Middlesex County,0.15,59-1006 Marston Ave,59-1007 Taylor Ave,430,G,99%,1%,0%,0%,0%,0%,F,0.1144,F,0.6355,440,G,2008,,,,,,,,,,,,,,,
753758,  59,01005,     ,59-1005,Cross St,316,Town of Urbanna,059,Middlesex County,0.09,59-1007 Taylor Ave,59-1013 West Ave,230,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753759,  59,01005,     ,59-1005,Cross St,316,Town of Urbanna,059,Middlesex County,0.06,59-1013 West Ave,59-1008 Colorado Ave,100,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
405426,  59,01006,     ,59-1006,Marston Ave,316,Town of Urbanna,059,Middlesex County,0.10,59-1001 Rappahannock Ave,59-1005 Cross Street,300,G,99%,0%,0%,0%,1%,0%,C,0.1216,F,0.6250,310,G,2008,,,,,,,,,,,,,,,
753760,  59,01006,     ,59-1006,Marston Ave,316,Town of Urbanna,059,Middlesex County,0.14,59-1005 Cross Street,Dead End,100,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753761,  59,01007,     ,59-1007,Taylor Ave,316,Town of Urbanna,059,Middlesex County,0.10,59-1001 Rappahannock Ave,59-1005 Cross Street,70,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753762,  59,01007,     ,59-1007,Taylor Ave,316,Town of Urbanna,059,Middlesex County,0.07,59-1005 Cross Street,59-1022 Chandler Ave,220,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753763,  59,01008,     ,59-1008,Colorado Ave,316,Town of Urbanna,059,Middlesex County,0.13,59-1001 Rappahannock Ave,59-1014 Kent St,80,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753764,  59,01009,     ,59-1009, ,316,Town of Urbanna,059,Middlesex County,0.04,59-1003,SR 227,1000,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753765,  59,01010,     ,59-1010, ,059,Middlesex County,059,Middlesex County,0.08,Dead End,59-1023 SOUTH,45,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753766,  59,01010,     ,59-1010, ,059,Middlesex County,059,Middlesex County,0.17,59-1023 SOUTH,59-1016,160,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753767,  59,01010,     ,59-1010, ,059,Middlesex County,059,Middlesex County,0.14,59-1016,59-1023 NORTH,260,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753768,  59,01010,     ,59-1010, ,059,Middlesex County,059,Middlesex County,0.19,59-1023 NORTH,SR 227,900,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753769,  59,01010,     ,59-1010,Grace Ave,316,Town of Urbanna,059,Middlesex County,0.05,SR 227,59-1025 Hilliard St,480,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753770,  59,01010,     ,59-1010,Grace Ave,316,Town of Urbanna,059,Middlesex County,0.06,59-1025 Hilliard St,59-1019 Park St,370,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753771,  59,01010,     ,59-1010,Grace Ave,316,Town of Urbanna,059,Middlesex County,0.08,59-1019 Park St,59-1020 Bonner St,230,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753772,  59,01011,     ,59-1011, ,059,Middlesex County,059,Middlesex County,0.50,Dead End,59-602 Old Virginia Street,350,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753773,  59,01012,     ,59-1012, ,316,Town of Urbanna,059,Middlesex County,0.30,Dead End,59-1005 Cross Street,260,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753774,  59,01013,     ,59-1013,West Ave,316,Town of Urbanna,059,Middlesex County,0.17,59-1001 Rappahannock Ave,59-1014 Kent St,100,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753775,  59,01014,     ,59-1014,Kent St,316,Town of Urbanna,059,Middlesex County,0.19,59-1001 Rappahannock Ave,59-1013 West Ave,100,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753776,  59,01015,     ,59-1015, ,316,Town of Urbanna,059,Middlesex County,0.11,SR 227,ECL Urbanna,160,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753777,  59,01016,     ,59-1016, ,059,Middlesex County,059,Middlesex County,0.25,Dead End,59-1010,80,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753778,  59,01017,     ,59-1017,Upton Lane,316,Town of Urbanna,059,Middlesex County,0.04,SR 227,Dead End,510,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753779,  59,01018,     ,59-1018,Obert St,316,Town of Urbanna,059,Middlesex County,0.13,Dead End,59-1001 Rappahannock Ave,140,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753780,  59,01019,     ,59-1019,Park St,316,Town of Urbanna,059,Middlesex County,0.12,59-1021 Linden St,59-1001 Rappahannock Ave,100,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753781,  59,01020,     ,59-1020,Bonner St,316,Town of Urbanna,059,Middlesex County,0.05,Dead End,59-1021 Linden St,70,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753782,  59,01020,     ,59-1020,Bonner St,316,Town of Urbanna,059,Middlesex County,0.12,59-1021 Linden St,59-1001 Rappahannock Ave,170,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753783,  59,01021,     ,59-1021,Linden St,316,Town of Urbanna,059,Middlesex County,0.14,59-1019 Park St,Dead End,70,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753784,  59,01022,     ,59-1022,Chandler Ave,316,Town of Urbanna,059,Middlesex County,0.04,Dead End,59-1007 Taylor Ave,30,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753785,  59,01022,     ,59-1022,Chandler Ave,316,Town of Urbanna,059,Middlesex County,0.05,59-1007 Taylor Ave,Dead End,110,R,,,,,,,X,,,,,,05/19/2003,,,,,,,,,,,,,,,
753786,  59,01023,     ,59-1023, ,059,Middlesex County,059,Middlesex County,0.06,59-1010 NORTH,59-1024 NORTH,280,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753787,  59,01023,     ,59-1023, ,059,Middlesex County,059,Middlesex County,0.24,59-1024 NORTH,59-1024 SOUTH,60,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753788,  59,01023,     ,59-1023, ,059,Middlesex County,059,Middlesex County,0.06,59-1024 SOUTH,59-1010 SOUTH,80,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
753789,  59,01024,     ,59-1024, ,059,Middlesex County,059,Middlesex County,0.22,59-1023 SOUTH,59-1023 NORTH,270,R,,,,,,,X,,,,,,05/14/2003,,,,,,,,,,,,,,,
