Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
658044, 1SR,00036,P    ,,Bollingbrook St,123,City of Petersburg,123,City of Petersburg,0.15,3rd St,5th St,4400,G,98%,0%,1%,0%,0%,0%,F,0.1077,F,0.7855,4800,G,2009,,6100,G,98%,0%,1%,0%,1%,0%,F,,,,6700,G
658042, 1SR,00036,P    ,,Bollingbrook St,123,City of Petersburg,123,City of Petersburg,0.23,5th St,Crater Rd,4200,G,98%,0%,1%,0%,0%,0%,C,0.1160,F,0.0000,4600,G,2009,,6300,G,98%,0%,1%,0%,1%,0%,C,,,,6900,G
658094, 1SR,00036,P    ,,Crater Rd,123,City of Petersburg,123,City of Petersburg,0.14,Bollingbrook St,"US 301 Par, Bank St",3700,G,98%,0%,1%,0%,0%,0%,F,0.1154,F,0.8387,4000,G,2009,,7600,G,97%,1%,1%,1%,1%,0%,F,,,,8200,G
658093, 1SR,00036,P    ,,Crater Rd,123,City of Petersburg,123,City of Petersburg,0.18,"US 301 Par, Bank St","US 301, BUS US 460 Crater Rd",3900,G,97%,1%,1%,0%,0%,0%,F,,,,4200,G,2009,,,,,,,,,,,,,,,
140106, 1SR,00036,P    ,VA 36 Par,Washington St,123,City of Petersburg,123,City of Petersburg,0.18,"US 301, Bus US 460 Crater Rd",Burch St,11000,G,97%,0%,1%,1%,1%,0%,F,0.0900,F,0.0000,11000,G,2009,,20000,G,97%,0%,1%,1%,1%,0%,F,0.0000,?,0.0000,22000,G
140107, 1SR,00036,P    ,VA 36 Par,Washington St,123,City of Petersburg,123,City of Petersburg,0.25,Burch St,SR 36 Wythe St; Amelia St,11000,G,97%,0%,1%,1%,1%,0%,F,0.0906,F,0.0000,12000,G,2009,,21000,G,97%,0%,1%,1%,1%,0%,F,,,,22000,G
040413,  IS,00085,N    ,, ,123,City of Petersburg,026,Dinwiddie County,1.01,SCL Petersburg,Squirrel Level Road,23000,F,88%,1%,1%,1%,9%,1%,C,0.0875,F,1.0000,24000,F,2009,,47000,F,88%,1%,1%,1%,10%,1%,C,0.0875,F,1.0000,46000,F
040040,  IS,00085,N    ,, ,123,City of Petersburg,026,Dinwiddie County,2.57,Squirrel Level Road,I-95,25000,F,88%,1%,1%,1%,9%,1%,F,,,,26000,F,2009,,52000,F,88%,1%,1%,1%,10%,1%,F,,,,50000,F
781220,  IS,00085,N068A,,Ramp,123,City of Petersburg,026,Dinwiddie County,0.10,I-85 North,I-95 South,5600,B,,,,,,,X,0.1101,A,1.0000,5700,B,2009,,,,,,,,,,,,,,,
795371,  IS,00085,N068B,I-85 NB Exit 068B,Ramp,123,City of Petersburg,026,Dinwiddie County,0.22,I-95 North,Wythe St & Washington St,5600,B,,,,,,,X,0.1074,A,1.0000,6000,B,2009,,,,,,,,,,,,,,,
