Virginia Department of Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Engineering Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Average Daily Traffic Volume Estimates By Section of Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parallel Facilities Combined,,,,,,,,,,,,,
Link ID,Route Prefix,Route Number,Route Suffix,Route Label,Route Alias,Physical Jurisdiction,,Maintenance Jurisdiction,,Link Length,Start Label,End Label,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,Data Date,Comment,AADT,AADT Quality,Percent 2 and 4 Tire Vehicles,Percent Busses,Percent Single Unit Trucks 2 Axle,Percent Single Unit Trucks 3+ Axle,Percent Combination Trucks 1 Trailer,Percent Combination Trucks 2+ Trailer,Vehicle Classification Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality
686701,  US,00460,     ,"US 460, Alt US 11",E Main St,129,City of Salem,129,City of Salem,0.44,SR 419 Electric Rd,WCL Roanoke,15000,G,96%,1%,1%,1%,2%,0%,F,0.0868,F,0.5111,17000,G,2011,,,,,,,,,,,,,,,
686118,A2US,00460,     ,"Alt US 460, Alt US 11",4th St,129,City of Salem,129,City of Salem,0.40,W Main St US 11; 460,Elm St,16000,G,97%,0%,1%,1%,1%,0%,F,0.0835,F,0.5576,18000,G,2011,,,,,,,,,,,,,,,
686117,A2US,00460,     ,"Alt US 460, Alt US 11",4th St,129,City of Salem,129,City of Salem,0.37,Elm St,Union St,18000,G,97%,0%,1%,1%,1%,0%,C,0.0840,F,0.5067,19000,G,2011,,,,,,,,,,,,,,,
686116,A2US,00460,     ,"Alt US 460, Alt US 11",4th St,129,City of Salem,129,City of Salem,0.29,Union St,Colorado St,16000,G,97%,0%,1%,1%,1%,0%,F,0.0868,F,0.5173,17000,G,2011,,,,,,,,,,,,,,,
686115,A2US,00460,     ,"Alt US 460, Alt US 11",4th St,129,City of Salem,129,City of Salem,0.28,Colorado St,Roanoke Blvd,9100,G,98%,0%,1%,1%,1%,0%,F,0.0877,F,0.5228,9700,G,2011,,,,,,,,,,,,,,,
686114,A2US,00460,     ,"Alt US 460, Alt US 11",Texas St,129,City of Salem,129,City of Salem,0.31,Roanoke Blvd,Idaho St,10000,G,98%,0%,1%,1%,1%,0%,C,0.0906,F,0.5919,12000,G,2011,,,,,,,,,,,,,,,
686113,A2US,00460,     ,"Alt US 460, Alt US 11",Texas St,129,City of Salem,129,City of Salem,0.61,Idaho St,Lynchburg Tpke,5500,G,97%,0%,1%,1%,1%,0%,C,0.0938,F,0.6018,5900,G,2011,,,,,,,,,,,,,,,
686112,A2US,00460,     ,"Alt US 460, Alt US 11",Texas St,129,City of Salem,129,City of Salem,0.24,Lynchburg Tpke,Electric Rd,2500,G,97%,0%,1%,1%,1%,0%,F,,,,2700,G,2011,,,,,,,,,,,,,,,
686111,A2US,00460,     ,"Alt US 460, Alt US 11, VA 419",Electric Rd,129,City of Salem,129,City of Salem,0.53,Texas St,E Main St,20000,G,97%,0%,1%,1%,1%,0%,F,0.0932,F,0.5942,21000,G,2011,,,,,,,,,,,,,,,
780327,  FR,00070,     ,FR 70,Skyview Rd,129,City of Salem,080,Roanoke County,0.02,SR 112; 80-619 Litchell Rd,Roanoke County Line,560,R,,,,,,,X,,,,,,07/10/2009,,,,,,,,,,,,,,,
