ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011	Prepared	8/22/2012
Daily Vehicle Miles Traveled (DVMT) by Physical Jurisdiction, with Towns Combined into Counties																														
Public Road Segments within the Commonwealth of Virginia																														
Road Length values temporarilly not included in this report pending publication of official road length values																														
2011																														
																														
									Secondary						Primary						Interstate						All Roads			
													%	%					%	%					%	%				%
										%	%		of	of		%	%		of	of		%	%		of	of		%		of
										of	of		Secondary	State		of	of		Primary	State		of	of		Interstate	State		of		State
										Secondary	State	Road	Total	Total		Primary	State	Road	Total	Total		Interstate	State	Road	Total	Total		State	Road	Total
										Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Total	Length	Road	Road		Total	Length	Road
		Jurisdiction							DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	VMT	(Miles)	Length	Length	DVMT	VMT	(Miles)	Length
																														
 		110	City of Falls Church					              	56,057	0.09%	0.03%				98,393	0.11%	0.04%				0	0.00%	0.00%				154,451	0.07%		
 		145	City of Franklin					              	71,873	0.11%	0.03%				22,878	0.03%	0.01%				0	0.00%	0.00%				94,751	0.04%		
 		111	City of Fredericksburg					              	159,807	0.25%	0.07%				352,451	0.39%	0.16%				423,231	0.64%	0.19%				935,489	0.42%		
 		113	City of Galax					              	62,035	0.10%	0.03%				86,674	0.10%	0.04%				0	0.00%	0.00%				148,709	0.07%		
 		114	City of Hampton					              	1,284,892	1.98%	0.58%				879,953	0.97%	0.40%				1,652,170	2.51%	0.74%				3,817,015	1.72%		
 		115	City of Harrisonburg					              	255,540	0.39%	0.12%				288,722	0.32%	0.13%				315,028	0.48%	0.14%				859,290	0.39%		
 		116	City of Hopewell					              	110,873	0.17%	0.05%				130,612	0.14%	0.06%				102,313	0.16%	0.05%				343,798	0.15%		
 		117	City of Lexington					              	19,204	0.03%	0.01%				36,907	0.04%	0.02%				0	0.00%	0.00%				56,111	0.03%		
 		118	City of Lynchburg					              	503,400	0.77%	0.23%				1,118,784	1.23%	0.50%				0	0.00%	0.00%				1,622,184	0.73%		
 		155	City of Manassas					              	541,099	0.83%	0.24%				163,198	0.18%	0.07%				0	0.00%	0.00%				704,297	0.32%		
 		152	City of Manassas Park					              	38,533	0.06%	0.02%				29,349	0.03%	0.01%				0	0.00%	0.00%				67,882	0.03%		
 		120	City of Martinsville					              	147,881	0.23%	0.07%				115,965	0.13%	0.05%				0	0.00%	0.00%				263,846	0.12%		
 		121	City of Newport News					              	1,111,110	1.71%	0.50%				1,607,925	1.77%	0.72%				1,663,131	2.52%	0.75%				4,382,166	1.98%		
 		122	City of Norfolk					              	1,039,908	1.60%	0.47%				2,015,330	2.22%	0.91%				2,690,292	4.08%	1.21%				5,745,530	2.59%		
 		146	City of Norton					              	25,571	0.04%	0.01%				102,839	0.11%	0.05%				0	0.00%	0.00%				128,411	0.06%		
 		123	City of Petersburg					              	243,039	0.37%	0.11%				266,971	0.29%	0.12%				472,030	0.72%	0.21%				982,040	0.44%		
 		147	City of Poquoson					              	64,875	0.10%	0.03%				56,501	0.06%	0.03%				0	0.00%	0.00%				121,376	0.05%		
 		124	City of Portsmouth					              	493,707	0.76%	0.22%				813,578	0.89%	0.37%				373,011	0.57%	0.17%				1,680,295	0.76%		
 		126	City of Radford					              	117,601	0.18%	0.05%				83,901	0.09%	0.04%				0	0.00%	0.00%				201,502	0.09%		
 		127	City of Richmond					              	1,529,527	2.35%	0.69%				1,608,720	1.77%	0.73%				1,742,373	2.64%	0.79%				4,880,620	2.20%		
 		128	City of Roanoke					              	829,227	1.28%	0.37%				928,308	1.02%	0.42%				370,745	0.56%	0.17%				2,128,279	0.96%		
 		129	City of Salem					              	159,074	0.24%	0.07%				259,789	0.29%	0.12%				22,341	0.03%	0.01%				441,204	0.20%		
 		132	City of Staunton					              	99,891	0.15%	0.05%				236,830	0.26%	0.11%				0	0.00%	0.00%				336,721	0.15%		
 		133	City of Suffolk					              	539,470	0.83%	0.24%				1,905,242	2.09%	0.86%				346,191	0.53%	0.16%				2,790,902	1.26%		
 		134	City of Virginia Beach					              	3,861,206	5.94%	1.74%				2,250,175	2.47%	1.01%				1,762,407	2.67%	0.79%				7,873,787	3.55%		
 		136	City of Waynesboro					              	139,098	0.21%	0.06%				142,015	0.16%	0.06%				100,875	0.15%	0.05%				381,988	0.17%		
 		137	City of Williamsburg					              	87,886	0.14%	0.04%				173,668	0.19%	0.08%				0	0.00%	0.00%				261,554	0.12%		
 		138	City of Winchester					              	227,047	0.35%	0.10%				140,240	0.15%	0.06%				4,149	0.01%	0.00%				371,435	0.17%		
									64,977,262	100.00%	29.29%				90,946,652	100.00%	41.00%				65,922,639	100.00%	29.72%				221,846,554	100.00%		



'Secondary' includes those routes in the VDOT secondary system,  (unnumbered) routes maintained by Arlington and Henrico Counties and unnumbered routes maintained by cities and towns.
'Primary' includes those routes designated as 'US', 'SR' (Virginia State Route) and Frontage Roads.
'Primary' also includes the named federal parkways (George Washington Pkwy, Colonial Pkwy, Blue Ridge Pkwy, Skyline Drive) and the Dulles Access road.
'Interstate' includes those routes in the Interstate System.
Road Length values temporarilly not included in this report pending publication of official road length values.

ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011		ReportID:	1206	DataYear:	2011	Prepared	8/22/2012
